Penjual,Kota Toko,Nama Produk,Harga Produk,Jumlah Terjual,Rating Produk
BociKakang,Jakarta Selatan,SEBLAK KERING PEDAS DAUN JERUK,4500.0,500.0,4.6
yumnaa snack,Kab. Bekasi,kerupuk seblak kencur / kerupuk seblak kering - 250gram,12000.0,30.0,4.9
the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,1000.0,4.8
hikmah berkah jaya,Jakarta Barat,seblak instant sajodo snak,19000.0,750.0,4.8
emmoshop,Kab. Bogor,Mommy Seblak Basah Instant 100gr,10000.0,2000.0,4.9
Pusat Cuankie & Cemilan Frozen,Jakarta Timur,SEBLAK INSTANT TERMURAH,3999.0,10000.0,4.8
Aliya28,Tangerang Selatan,Seblak/Cuanki/Baso aci/Batagor kuah (instan) 1porsi. toping lengkap,7500.0,100.0,5.0
vieka mart official,Tangerang Selatan,Seblak ala Kang Rafael | Seblak Viral | Seblak Cobek,9216.0,250.0,5.0
TokokelontongSejahtera,Jakarta Barat,KERUPUK SEBLAK VIRAL RAFAEL (MENTAH) 250GR,17500.0,28.0,5.0
arzy sembako,Kab. Bogor,kerupuk seblak rafael 500gram,13800.0,30.0,5.0
Toko NRV Plastik dan Bahan Kue,Bandung,Kerupuk Aci Mawar | Kerupuk Mawar Putih | Seblak Rafael Viral | 250gr,7999.0,100.0,5.0
babykhai,Jakarta Timur,seblak rafael / seblak coet / seblak cocol,7500.0,100.0,4.9
the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,1000.0,4.8
Baso Aci Ayang,Kab. Garut,Seblak Instan Komplit Pedas Gurih Nikmat,5999.0,2000.0,4.9
BociKakang,Jakarta Selatan,SEBLAK KERING PEDAS DAUN JERUK,4500.0,500.0,4.6
Aydaa Snack,Surakarta,SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,16000.0,40.0,4.9
RIKI STORE 97,Kab. Bogor,Seblak pedas kerupuk pedas kiloan 1 kg,34000.0,70.0,4.8
Siomay Aisha Frozen,Depok,Batagor Aisha Frozen - Pangsit Tahu,26000.0,3000.0,4.9
Lakoca Official Shop,Cimahi,Paket Isi 6 Makaroni Basah Instan | Seblak Basah Instan,93840.0,14.0,4.8
kanskitchen,Bekasi,Paket Adha 4 - Dimsum; Seblak Kering; Panzerotti; Seblak Komplit Kuah,107000.0,0.0,0.0
rafardhan_shop,Jakarta Timur,Seblak Original Bunda Fardhan,9980.0,0.0,0.0
Endo Shop ID,Kab. Garut,"1 Kg SIOMAY MINI SADULUR Gurilem Cuanki Mini Kerikil, Topping Baso Aci",23000.0,19.0,5.0
RIKI STORE 97,Kab. Bogor,seblak kerupuk bantet kering 75 gram,5000.0,90.0,4.7
Aeeshastore,Bandung,Siomay Kerikil Kuncup / Siomay Mini / SIomay Seblak,8000.0,100.0,4.6
Uai Food,Surabaya,SEBLAK COBEK VIRAL ALA RAFAEL DIJAMIN ENAK,6000.0,30.0,5.0
Utama.Snack,Surabaya,Kerupuk Seblak Pedas 200gr,12000.0,500.0,4.9
RIKI STORE 97,Kab. Bogor,kerupuk seblak extra pedas murah meriah,4500.0,12.0,4.7
DINAYASHOP,Jakarta Barat,Kerupuk Mentah seblak 1kg,18000.0,70.0,4.4
blibuah official,Bekasi,Kerupuk Bawang 250 / Kerupuk Warna-Warni / Kerupuk Seblak,5000.0,250.0,4.9
Indofood Official Store,Tangerang Selatan,Indomie Hypeabis Seblak Hot Jeletot,3100.0,1000.0,5.0
Grosir Putra Bdg,Kab. Bandung,seblak / paket seblak bumbu komplit pedas ekonomis,3479.0,250.0,4.9
cemilan4u,Bandung,Warung Marenta - SEBLAK BASAH Instan - 85 gr,12990.0,100.0,5.0
Lakoca Official Shop,Cimahi,GFS Seblak Basah Instan Original - Tinggal Seduh 3 Menit Langsung Siap,16618.0,100.0,4.8
jajanangarut19,Jakarta Selatan,CUANKI TAHU KERING isi 500pcs Topping SEBLAK Cuanki Baso Aci,175000.0,10.0,5.0
Adila_Putri_Snack,Kab.Ciamis,kerupuk seblak pedas 1/2 kg / kerupuk seblak ½ - Pedas,20900.0,80.0,4.8
CuankiCulametan,Kab. Garut,Sukro cikur pilus kencur sari rasa 250 gram toping seblak baso aci,8500.0,100.0,4.9
jajanangarut19,Jakarta Selatan,CUANKI TAHU KERING,14000.0,750.0,4.9
Indomie Official Store,Tangerang Selatan,5 Pcs - Indomie HypeAbis Rasa Seblak Hot Jeletot,16000.0,500.0,4.9
Seblak Alipbata,Tangerang,seblak instant khas bandung,60000.0,100.0,4.8
ArfaOnlineShop,Tangerang,kerupuk mix 100 gram campuran seblak,2999.0,20.0,5.0
Golden Cakery,Jakarta Pusat,KERIPIK KACA/KRIPIK KACA PEDAS/SEBLAK KACA 100 GRAM,12250.0,250.0,4.8
aghniya,Tangerang Selatan,"seblak ceker 250 gr pedas daun jeruk, gurih,cemilan bikin nagih",9999.0,50.0,4.8
Bintang jaya Jsp,Tangerang Selatan,Kerupuk merah kerupuk seblak 5 kg kerupuk mentah,67900.0,18.0,5.0
The Little Snacks,Tangerang Selatan,Cancimen Seblak Ramen Mas Miun Instan Cemilan Cup Kekinian Khas Garut,17000.0,40.0,5.0
Ohayo Bento New,Jakarta Timur,Seblak Instan KSN,10000.0,10.0,4.0
global cookware1,Jakarta Barat,"CUANKI SIOMAY TOPING BASO ACI, MIE INSTAN, SEBLAK",17999.0,250.0,4.8
Semesta kerupuk,Tangerang Selatan,Kerupuk mawar putih mentah 1ball (5kg)/kerupuk seblak viral rafael,98000.0,6.0,5.0
The Little Snacks,Tangerang Selatan,Soaci / Seblak Baso Aci Khas Garut,19900.0,500.0,4.8
Distributor Topping Baso Aci,Bandung,Cuanki Siomay Kering 50 Buah (BKS),15500.0,30.0,5.0
Mokosnacksby,Surabaya,Snack Cemilan Seblak Siomay 250 gram,15000.0,80.0,4.9
Seblak Alipbata,Tangerang,seblak instant khas bandung,60000.0,100.0,4.8
Snackzone Kelapa Gading,Jakarta Utara,Baso urat djuara sami raos/Baso Aci Urat /Seblak,25000.0,0.0,0.0
JAGO TOK PETOK,Surabaya,kerupuk seblak kering pedas 500 gr hot spicy keripik enak,22000.0,100.0,4.9
anugrah seblak,Kab. Bandung,"siomay pedas kering,daun jeruk,500g,cemilan pedas,seblak,siomay bandun",23000.0,250.0,4.7
CemilanPuas,Medan,[READY MEDAN] Seblak Bandung Instan Super Pedas Termurah Lidah Cuanki,6900.0,500.0,4.8
amarsha_shop,Jakarta Utara,"Kerupuk seblak/jablay pedas snack kiloan cemilan original, exp panjang",8500.0,100.0,4.6
RIKI STORE 97,Kab. Bogor,Sabring kerupuk seblak kering pedas 75 gram,5000.0,28.0,4.2
Rempah Bu Risma,Kab. Bekasi,KERUPUK MENTAH BULAT PUTIH KERUPUK IKAN KERUPUK SEBLAK 1 KG,9000.0,19.0,5.0
RIKI STORE 97,Kab. Bogor,Kerupuk seblak pedas 75 gram,4500.0,20.0,4.0
BociKakang,Jakarta Selatan,KERUPUK MENTAH KERUPUK SEBLAK MENTAH 500 GR,12500.0,100.0,4.8
Foodstocks,Jakarta Selatan,Mie Seblak Geprek Sami Raos Khas Garut Seblak Instant Kekinian 160gr,17160.0,50.0,5.0
Kickball Official,Bandung,bumbu seblak basah instan,26666.0,250.0,4.7
Gerai Snack Official Shop,Kab. Tangerang,Soun Seblak Geprek SAMI RAOS Khas Garut,18700.0,70.0,4.8
ArfaOnlineShop,Tangerang,TOPPING SEBLAK/BASO ACI PAKET MIX TERMURAH/CUANKI/CUANKIE,34999.0,100.0,4.9
aghniya,Tangerang Selatan,"keripik beling / kaca 1 kg. bumbu seblak daun jeruk enak, gurih, pedas",44999.0,250.0,4.8
KailaAini_collection,Kab. Bandung,SEBRING CAMPUR/ Seblak kering Bumbu kacang/ varian pedas-original,20000.0,17.0,5.0
Hokishopsurabaya,Surabaya,✔MURAH Kerupuk Mentah Serba 6000 berat 250gr / Krupuk Seblak,6499.0,24.0,5.0
Dorame Food,Malang,"(Reseller 6.500) Dorame Makaroni Pipa, Makroni Spiral, Basreng, Seblak",7500.0,1000.0,4.9
Agen Snack Jakarta,Kab. Bogor,Juara Snack - Kerupuk Seblak Pedas 100gr,6500.0,24.0,5.0
Griyo Seni,Kab. Sidoarjo,SEBLAK INSTAN,5000.0,50.0,4.5
Official Kartika Sari,Bandung,Seblak Instan Sehati,13000.0,500.0,5.0
AHR Jaya Snack,Jakarta Timur,KERUPUK PEDAS KRIWIL BANTAT ISI 250gr KRITING SEMBRING SEBLAK MAWAR,17248.0,15.0,5.0
RIKI STORE 97,Kab. Bogor,kerupuk seblak Pedas 75 gram gurih,4500.0,6.0,4.0
Golden Cakery,Jakarta Pusat,KERUPUK SEBLAK SEBRING PEDAS KILOAN,84550.0,16.0,5.0
TOSERDA,Bandung,basranger seblak extra pedas instan praktis murah halal cemilan,20580.0,19.0,4.8
tantaz_Snack,Tangerang Selatan,Kerupuk Seblak 100 gram-Tantaz Snack,6500.0,23.0,4.8
Snackzone PP,Jakarta Pusat,Keripik Seblak Pedas Putih,18000.0,30.0,5.0
Akang Kripik,Jakarta Timur,Krupuk kerupuk Seblak Pedas Gurih krupuk Jablay,17500.0,30.0,5.0
insanprimastore,Tangerang Selatan,Kerupuk Joged Bawang Bibir Warna Warni mentah 500gr Seblak,10500.0,14.0,4.7
jajanan masabi,Jakarta Selatan,"baso aci masabi original (cuanki, seblak, boci, tulang rangu, batagor)",7500.0,9.0,5.0
Rahmatika Freshmart,Tangerang Selatan,Seblak Instant Carla 100 gr,13000.0,7.0,5.0
PanganIndah,Tangerang,Kerupuk bawang orange 250gr / Krupuk seblak mentah bawang oren 250 gr,7500.0,7.0,5.0
Celikafood,Bandung,Kerupuk Putih 250 gr Krupuk Sumbersari Kurupuk Sumber Sari Seblak,6500.0,50.0,5.0
BaroqahSnack,Jakarta Barat,KRUPUK SEBLAK STICK/SNACK KILOAN,12000.0,40.0,5.0
Gerai Snack Official Shop,Kab. Tangerang,Seblak Instant Basranger Extra Pedas Daun Jeruk (200gr),17300.0,100.0,4.8
Ghery Durian Shop,Jakarta Timur,Seblak instan,11000.0,80.0,4.9
RafToshi Mart,Tangerang Selatan,seblak cobek,6200.0,15.0,5.0
Pempek Emak Indah,Jakarta Barat,COMBO HALU! 3PC SEBLAK MIE HALU - EMAK INDAH FOOD,59400.0,23.0,5.0
annamustikashop,Jakarta Barat,kerupuk bawang orange seblak - 250 gr,8500.0,30.0,5.0
ArfaOnlineShop,Tangerang,PAKET MIX HEMAT 50 BASO ACI/BOCI/SEBLAK/CUANKI,85000.0,30.0,5.0
Disiniajabookshop,Tangerang Selatan,Seblak Koko Cup,25000.0,15.0,5.0
Al Dien Store 313,Tangerang,Seblak Mercon Khas Tasik 150gr Pedas Jelotot,9000.0,50.0,4.8
G Cakery,Jakarta Pusat,KERUPUK SEBLAK SEBRING PEDAS,43610.0,25.0,5.0
Muysproduct,Kab. Bogor,seblak instan mie original om brewok,14000.0,5.0,5.0
Ruang Kudapan Nusantara,Bandung,SiDaun Sambal Seblak - 40 Gram,21000.0,0.0,0.0
Rak Sebelah,Jakarta Pusat,Cancimen Seblak Ramen Instan Cup 100gr - Ready to Cook | Mie Instant,16000.0,3.0,0.0
Mokosnacksby,Surabaya,Seblak Soto pedas 250gr,15000.0,60.0,4.9
the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,1000.0,4.8
hikmah berkah jaya,Jakarta Barat,seblak instant sajodo snak,19000.0,750.0,4.8
emmoshop,Kab. Bogor,Mommy Seblak Basah Instant 100gr,10000.0,2000.0,4.9
Pusat Cuankie & Cemilan Frozen,Jakarta Timur,SEBLAK INSTANT TERMURAH,3999.0,10000.0,4.8
Berkahrr,Bekasi,seblak mamang Rafael versi kering,12000.0,10.0,0.0
Anggris store,Kab. Bogor,Kerupuk Seblak / Seblak / Kering Pedas /,10000.0,40.0,4.8
Agen Snack Murah,Jakarta Barat,KRUPUK JABLAY PEDAS 500Gram/KRUPUK SEBLAK/SEBLAK KERING/SNACK KILOAN,22999.0,40.0,4.9
BociKakang,Jakarta Selatan,SEBLAK KERING PEDAS DAUN JERUK,4500.0,500.0,4.6
yumnaa snack,Kab. Bekasi,kerupuk seblak kencur / kerupuk seblak kering - 250gram,12000.0,30.0,4.9
the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,1000.0,4.8
hikmah berkah jaya,Jakarta Barat,seblak instant sajodo snak,19000.0,750.0,4.8
emmoshop,Kab. Bogor,Mommy Seblak Basah Instant 100gr,10000.0,2000.0,4.9
Pusat Cuankie & Cemilan Frozen,Jakarta Timur,SEBLAK INSTANT TERMURAH,3999.0,10000.0,4.8
Aliya28,Tangerang Selatan,Seblak/Cuanki/Baso aci/Batagor kuah (instan) 1porsi. toping lengkap,7500.0,100.0,5.0
vieka mart official,Tangerang Selatan,Seblak ala Kang Rafael | Seblak Viral | Seblak Cobek,9216.0,250.0,5.0
TokokelontongSejahtera,Jakarta Barat,KERUPUK SEBLAK VIRAL RAFAEL (MENTAH) 250GR,17500.0,28.0,5.0
arzy sembako,Kab. Bogor,kerupuk seblak rafael 500gram,13800.0,30.0,5.0
Toko NRV Plastik dan Bahan Kue,Bandung,Kerupuk Aci Mawar | Kerupuk Mawar Putih | Seblak Rafael Viral | 250gr,7999.0,100.0,5.0
babykhai,Jakarta Timur,seblak rafael / seblak coet / seblak cocol,7500.0,100.0,4.9
the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,1000.0,4.8
Baso Aci Ayang,Kab. Garut,Seblak Instan Komplit Pedas Gurih Nikmat,5999.0,2000.0,4.9
BociKakang,Jakarta Selatan,SEBLAK KERING PEDAS DAUN JERUK,4500.0,500.0,4.6
Aydaa Snack,Surakarta,SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,16000.0,40.0,4.9
RIKI STORE 97,Kab. Bogor,Seblak pedas kerupuk pedas kiloan 1 kg,34000.0,70.0,4.8
kylafood,Bandung,Seblak Mie Baso k.y.l Kylafood,21465.0,4000.0,4.9
CuankiCulametan,Kab. Garut,cuanki tahu geprek isi 50 murah toping seblak baso aci,19000.0,50.0,4.7
indieshop786,Kab. Garut,Seblak Kuah Instant Tom Yum Pusaka Parahyangan,15000.0,0.0,0.0
Malmilty,Kab. Bogor,KERUPUK SEBLAK,6000.0,0.0,0.0
maherashop,Bandung,Seblak kering pedas daun jeruk 1/2 kg,30000.0,0.0,0.0
yumnaa snack,Kab. Bekasi,kerupuk seblak kencur / kerupuk seblak kering - 250gram,12000.0,30.0,4.9
kylafood,Bandung,Kylafood Seblak Rempah Autentik isi (10pcs),89100.0,40.0,4.8
Toko kue Sumber Mas,Jakarta Timur,KERUPUK / KRUPUK SEBLAK RASA PEDAS / TERLARIS / KILOAN 1 KG,60102.0,80.0,4.9
Indomie Official Store,Tangerang Selatan,10 Pcs - Indomie HypeAbis Rasa Seblak Hot Jeletot,31900.0,5000.0,4.8
fasyaa_id,Bandung,Kyla Food Seblak Original,20500.0,40.0,5.0
global cookware1,Jakarta Barat,"SIOMAY MINI 1 BALL ISI 5 KILO TOPING BASO ACI, SEBLAK",169000.0,100.0,4.8
kylafood,Bandung,PAKET HEMAT (2 Seblak original - Seblak Karuhun - Cireng Bumbu Rujak),53250.0,750.0,4.9
Van Kios,Bandung,Kerupuk Seblak kering pedas RIKI,8800.0,1000.0,4.9
Dapur Sehat21,Kab. Bandung,KERUPUK SEBLAK 1KG / KRUPUK SEBLAK DAUN JERUK / SEBLAK PEDAS,38000.0,30.0,4.6
aghniya,Tangerang Selatan,"seblak ceker 1 kg pedas daun jeruk, gurih,cemilan bikin nagih",35999.0,40.0,5.0
Jember Snack Time,Kab. Jember,Seblak Cimol Kering Pedas 150gr | Snack Kiloan JST,10000.0,100.0,4.8
Mokosnacksby,Surabaya,Seblak Soto ORI 250gr,15000.0,50.0,4.9
omiyago,Jakarta Barat,Omiyago Snack Kerupuk Seblak,4000.0,24.0,4.8
Muysproduct,Kab. Bogor,seblak instan om brewok,14000.0,2.0,5.0
Lakoca Official Shop,Cimahi,Lakoca Cuanki Instan Pertama Lakoca - 3 Menit Siap Santap!,16618.0,500.0,4.9
Roda Minang,Jakarta Barat,Kerupuk bawang prima / Kerupuk warna warni / Kerupuk seblak - 1Kg,23000.0,50.0,5.0
Yimshop,Semarang,YIMS seblak instant pedas napol termurah khas garut kerupuk seblak teh,5500.0,250.0,4.7
Distributor Cuanki dan Seblak,Kab. Bekasi,GRATIS KARDUS CUANKI MIX MURAH - BISA COD - TOPING SEBLAK - BASO ACI,30000.0,29.0,5.0
ngemilogi,Jakarta Barat,Seblak Kering 2in1-Tiktak Cikur Lvl 1&5 Tsaqil 80gr-Snack by Ngemilogi,14700.0,8.0,5.0
Frozen Mart Jakarta,Jakarta Utara,TENS Mie Kremes Seblak / Snack Vegan / Cemilan Sehat 65Gr,11900.0,21.0,5.0
yakoyako,Bekasi,Seblak Instan Batagor/Seblak Instan Pedas,8700.0,100.0,5.0
aghniya,Tangerang Selatan,Cabe bubuk special baso aci & seblak,11999.0,250.0,4.9
humaniss,Tangerang Selatan,seblak instan carla komplit batagor siomay jajanan khas bandung,14500.0,7.0,5.0
SuperSnacksShop,Kab. Bandung,KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 1kg KANCING BAWANG,21000.0,13.0,5.0
mustafastore,Tangerang Selatan,seblaku -seblak instan,6000.0,6.0,5.0
Muysproduct,Kab. Bogor,seblak instan mie bakso om brewok,16000.0,5.0,5.0
Seblak Alipbata,Tangerang,5 Pack Batagor Kuah MAMI Khas Bandung,60000.0,9.0,4.3
kylafood,Bandung,Paket Batagor-Mie Kocok k.y.l Kylafood,39220.0,1000.0,4.9
Jajanan Wawa,Kab. Purwakarta,Kerupuk Seblak,20000.0,0.0,0.0
kylafood,Bandung,Paket Batagor-Toping Pilus k.y.l Kylafood,28490.0,1000.0,4.9
DapoerOeti,Jakarta Barat,Kerupuk Jablay/ Kerupuk Seblak Pedas.,10000.0,28.0,4.5
jajanangarut19,Jakarta Selatan,CUANKI TAHU KERING isi 500pcs Topping SEBLAK Cuanki Baso Aci,175000.0,10.0,5.0
AHR Jaya Snack,Jakarta Timur,KERUPUK PEDAS JABLAY PELANGI 1kg / Seblak Kering Kerupuk Bantat Seblak,62098.0,6.0,5.0
Hypermart Pakuwon,Surabaya,INDOMIE MI INSTANT RASA SEBLAK HOT JELET,2780.0,500.0,4.8
RGA Frozen,Depok,Seblak geprek hedon,15000.0,250.0,5.0
TTH-grocerystore,Bandung,KERUPUK SEBLAK VIRAL RAFAEL BUNGA PUTIH 1 KG,27000.0,18.0,5.0
Gerai Snack Official Shop,Kab. Tangerang,Seblak Kuah Instant Terciduk Khas Bandung Extra Mie Telur Best Seller,17300.0,50.0,4.5
ArfaOnlineShop,Tangerang,SIOMAY SEGITIGA ISI 10 PCS BASO ACI/BOCI/SEBLAK,7999.0,80.0,4.9
temencemalcemil,Jakarta Barat,KRUPUK SEBLAK PEDAS RENYAH 100GRAM (BOX MIKA),2500.0,23.0,5.0
ArfaOnlineShop,Tangerang,cuanki/cuankie lidah isi 50 pcs khas Garut baso Aci/boci/seblak,16999.0,80.0,4.9
Fiorenza Snack,Jakarta Timur,Makaroni Tabur & Seblak Makaroni SiKaya-Netto 40 Gram,5000.0,100.0,4.7
oke snack,Jakarta Selatan,cemilan SEBLAK KARI PEDAS 65gr,4500.0,100.0,4.8
Seblak Jeletet Murni,Jakarta Pusat,bundling Seblak instan Ajahh Unyuu,49000.0,30.0,5.0
Hans cake store,Jakarta Barat,TERLARIS kerupuk mawar mentah 250gram seblak rafael viral,22000.0,4.0,5.0
Rasa Juara Indonesia,Bandung,SEBLAK JUARA INSTAN MASAK BASAH ASLI BANDUNG ENAK MANTAP,22000.0,750.0,4.9
Roda Minang,Jakarta Barat,Kerupuk bawang prima / Kerupuk warna warni / Kerupuk seblak - 500 Gram,12000.0,30.0,4.9
RIKI STORE 97,Kab. Bogor,PANGSIT SEBLAK BUMBU BASAH,8500.0,9.0,5.0
The Little Snacks,Tangerang Selatan,Soaci / Seblak Baso Aci Khas Garut,19900.0,500.0,4.8
Via Frozen Food,Jakarta Timur,seblak,10000.0,250.0,4.8
SIMANALAGI-KOSAMBI-BANDUNG,Bandung,kerupuk seblak bantat kriwil syahrini 250gr oleh oleh bandung,19000.0,100.0,4.9
SuperSnacksShop,Kab. Bandung,KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 1kg POCO / PUYUR,21000.0,80.0,4.9
Radja Herbal Indonesia,Kab. Bekasi,kerupuk ikan mentah putih seblak gurih renyah garing 1000gr,26500.0,7.0,5.0
Toko NRV Plastik dan Bahan Kue,Bandung,Kerupuk Oren Seblak Tenggiri | Mutiara Sari |250gram | Mentah | Kiloan,4999.0,22.0,5.0
Pempek Emak Indah,Jakarta Barat,PAKET KOMPLIT! RABOKKI RAMYEON TTEOKBOKI SEBLAK BAKSO ACI CHOIGO! HALU,108999.0,14.0,5.0
Cemilan-Ce,Kab. Sidoarjo,SEBLAK INSTAN TERMURAH,3500.0,50.0,5.0
Mo_toko,Tangerang Selatan,Soaci Seblak Baso Aci Homemade Makanan Instant Lokal,19750.0,19.0,4.7
SEBLAK MANTUL,Kab. Bandung,"seblak kerupuk jengkol pedas bumbu basah COD,asli Bandung",12500.0,8.0,4.5
AYO BELANJA AYO MASAK - BY CERITA DAPUR BUNDA,Kab. Sleman,KERUPUK LOTEK / KERUPUK SEBLAK / KERUPUK ORANYE (MENTAH) per 250gr,7740.0,100.0,5.0
Pempek Emak Indah,Jakarta Barat,COMBO HALU! 2PC BAKSO ACI INSTANT + 2PC SEBLAK - EMAK INDAH FOOD,89200.0,30.0,4.8
Paulus Plastik,Kab. Sleman,krupuk mentah / seblak / bawang / buryam / lotek / ketoprak 250gr,5400.0,250.0,4.9
IKAN LAUT SEGAR CAK ALFATH,Jakarta Selatan,Kerupuk Seblak Berkualitas 250Gr,12000.0,6.0,5.0
Foodstocks,Jakarta Selatan,Soun Seblak Geprek SAMI RAOS Khas Garut - Soun Seblak,19500.0,27.0,4.7
Aflah Snack,Bekasi,BARU! KERUPUK SEBLAK - TERMURAH [100gram],7500.0,100.0,4.7
Hosana Snack,Bogor,Kerupuk Seblak Mawar / kribo pedas 200 gram,10000.0,250.0,4.7
a grow exia (store),Kab. Bantul,SamiRaos Baso Aci Geprek Tulang Rangu Seblak Baso Urat Yamin Noodle,18950.0,17.0,5.0
temencemalcemil,Jakarta Barat,KRURPUK SEBLAK / KRUPUK BAWANG PEDAS JUMBO 150 GRAM,11000.0,16.0,4.8
Aeeshastore,Bandung,Mie Golosor Mie Kuning Untuk Seblak,6500.0,250.0,4.9
pelangi girls naget,Jakarta Timur,KSN SEBLAK ULEG viral ala mamang rapael,7400.0,30.0,5.0
Markas Makaroni,Kab. Bekasi,krupuk seblak hah pedas gurih 500gr,25000.0,750.0,4.9
Hosana Snack,Bogor,Krupuk Seblak Coin 1 bal,55000.0,24.0,5.0
SNACK JAKARTA 411,Jakarta Barat,Kerupuk Seblak,8000.0,250.0,5.0
Aneka Seblak Nusantara,Tangerang,Paket 7 Pcs Batagor Kuah CARLA Khas Bandung Terdekat,105000.0,0.0,0.0
Snackzone PP,Jakarta Pusat,Kerupuk Seblak Pedas / Kerupuk Seblak Merah,18000.0,16.0,3.5
Toko 780,Tangerang,Nona food seblak instan khas bandung,16000.0,0.0,0.0
CHOCOLAJIT_STORE,Kab. Bandung Barat,seblak kerupuk instan pedas cemilan snack bandung termurah,14900.0,24.0,5.0
the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,1000.0,4.8
hikmah berkah jaya,Jakarta Barat,seblak instant sajodo snak,19000.0,750.0,4.8
emmoshop,Kab. Bogor,Mommy Seblak Basah Instant 100gr,10000.0,2000.0,4.9
Pusat Cuankie & Cemilan Frozen,Jakarta Timur,SEBLAK INSTANT TERMURAH,3999.0,10000.0,4.8
Berkahrr,Bekasi,seblak mamang Rafael versi kering,12000.0,10.0,0.0
Anggris store,Kab. Bogor,Kerupuk Seblak / Seblak / Kering Pedas /,10000.0,40.0,4.8
Agen Snack Murah,Jakarta Barat,KRUPUK JABLAY PEDAS 500Gram/KRUPUK SEBLAK/SEBLAK KERING/SNACK KILOAN,22999.0,40.0,4.9
BociKakang,Jakarta Selatan,SEBLAK KERING PEDAS DAUN JERUK,4500.0,500.0,4.6
yumnaa snack,Kab. Bekasi,kerupuk seblak kencur / kerupuk seblak kering - 250gram,12000.0,30.0,4.9
the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,1000.0,4.8
hikmah berkah jaya,Jakarta Barat,seblak instant sajodo snak,19000.0,750.0,4.8
emmoshop,Kab. Bogor,Mommy Seblak Basah Instant 100gr,10000.0,2000.0,4.9
